datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,location
2011-05-18 06:00:00,2,0,0,3,12.33,10.0,9.0,9.0,93,2,95,busan
2012-01-15 05:00:00,1,0,0,1,10.67,10.0,8.3333,8.6667,9,19,28,busan
2011-04-03 04:00:00,1,0,0,1,11.0,16.67,9.0,3.6667,34,18,52,busan
2011-05-06 09:00:00,4,1,1,2,11.67,10.0,8.0,7.3333,59,5,64,incheon
2011-02-12 13:00:00,2,1,1,3,9.67,10.0,5.0,6.3333,72,11,83,busan
2012-01-03 02:00:00,4,1,1,1,3.67,19.0,8.0,9.0,141,3,144,seoul
2012-03-10 15:00:00,1,0,0,1,13.94,18.18,25,0,132,274,406,seoul
2011-06-07 06:00:00,4,0,1,1,5.0,8.0,7.0,3.6667,52,11,63,seoul
2012-08-25 05:00:00,2,0,0,2,7.67,17.33,8.6667,8.3333,110,2,112,incheon
2012-09-05 11:00:00,3,0,1,2,31.98,37.12,62,11.0014,61,156,217,seoul
2011-08-06 09:00:00,4,1,0,2,12.33,9.67,8.3333,8.0,60,20,80,busan
2012-11-19 18:00:00,2,1,0,2,9.67,16.33,7.6667,9.0,58,11,69,incheon
2011-09-14 23:00:00,3,0,1,2,26.24,30.305,69,7.0015,10,62,72,seoul
2011-03-04 23:00:00,3,0,1,1,5.33,6.67,3.3333,8.0,137,18,155,seoul
2012-05-06 03:00:00,3,0,0,3,11.0,13.67,3.6667,5.0,103,19,122,incheon
2012-10-16 15:00:00,4,0,0,1,15.0,16.67,7.0,8.6667,28,4,32,incheon
2012-02-26 07:00:00,3,1,0,2,10.67,10.33,4.3333,8.6667,108,7,115,busan
2011-05-16 04:00:00,2,1,1,3,10.33,11.67,7.6667,5.0,74,10,84,busan
2011-09-26 16:00:00,4,0,1,2,4.33,14.33,5.0,9.0,27,11,38,incheon
2012-07-10 03:00:00,3,0,0,2,9.33,7.33,5.6667,3.6667,18,14,32,busan
2012-04-10 12:00:00,2,1,0,3,4.67,17.67,7.6667,8.3333,40,6,46,seoul
2012-12-03 02:00:00,4,0,1,1,17.22,21.21,77,11.0014,1,9,10,seoul
2012-05-24 13:00:00,4,1,0,2,15.67,11.33,5.6667,7.3333,148,16,164,incheon
2011-08-23 22:00:00,1,0,0,1,8.0,12.67,7.3333,5.0,120,13,133,busan
2011-10-13 01:00:00,2,1,0,1,10.0,20.0,5.6667,7.6667,138,11,149,busan
2012-02-20 05:00:00,3,0,1,1,14.33,7.0,6.0,8.6667,87,4,91,busan
2011-01-30 10:00:00,3,1,0,2,16.0,17.67,6.3333,3.6667,108,18,126,incheon
2012-05-13 15:00:00,2,0,0,3,7.67,13.0,4.6667,9.0,62,13,75,seoul
2012-08-24 22:00:00,1,1,0,1,6.67,9.67,8.0,4.6667,147,20,167,busan
2012-01-30 03:00:00,4,1,1,3,6.0,17.67,6.6667,4.0,32,17,49,incheon
2012-03-25 21:00:00,4,1,1,1,7.0,14.33,4.0,3.6667,89,14,103,seoul
2011-05-04 09:00:00,2,0,0,1,7.33,19.33,9.6667,5.0,90,4,94,incheon
2011-08-21 07:00:00,4,0,1,1,16.33,12.0,7.6667,8.6667,73,10,83,busan
2011-09-05 22:00:00,2,1,1,1,4.33,10.33,9.3333,7.3333,100,13,113,busan
2011-02-27 21:00:00,1,1,0,2,8.0,12.67,6.0,6.3333,9,5,14,incheon
2011-08-17 22:00:00,4,1,0,2,10.0,12.33,9.6667,8.6667,129,16,145,seoul
2011-08-21 03:00:00,2,0,1,2,15.33,18.33,4.0,6.0,99,2,101,incheon
2012-04-03 18:00:00,2,0,1,1,24.6,30.305,26,11.0014,139,661,800,seoul
2011-11-14 15:00:00,4,0,1,2,13.33,8.33,9.6667,5.0,120,4,124,incheon
2012-09-08 19:00:00,3,0,0,3,23.78,27.275,88,7.0015,28,187,215,seoul
2011-01-19 18:00:00,1,0,0,3,14.33,17.67,5.0,6.6667,100,3,103,incheon
2011-11-05 05:00:00,1,0,0,1,6.67,14.67,9.6667,9.6667,29,11,40,incheon
2012-11-02 01:00:00,1,0,1,1,7.67,18.33,5.0,4.3333,5,13,18,busan
2012-04-01 16:00:00,2,0,0,1,21.32,25,52,16.9979,236,275,511,seoul
2012-09-08 14:00:00,3,0,0,1,33.62,38.635,52,30.0026,260,366,626,seoul
2011-04-04 06:00:00,1,0,0,3,11.67,11.33,9.6667,4.3333,46,5,51,busan
2011-01-19 10:00:00,2,1,1,1,16.67,10.0,4.6667,3.3333,83,12,95,incheon
2012-09-19 05:00:00,1,0,1,2,16.67,17.33,5.3333,5.3333,99,9,108,incheon
2011-07-29 08:00:00,4,1,1,1,15.67,9.67,6.6667,8.3333,146,2,148,incheon
2011-07-19 04:00:00,3,0,1,1,29.52,34.09,70,8.9981,1,4,5,seoul
2012-02-11 08:00:00,1,0,0,3,9.02,11.365,93,8.9981,1,77,78,seoul
2011-12-20 08:00:00,1,0,1,3,9.67,8.33,7.3333,5.6667,74,1,75,busan
2011-08-20 07:00:00,1,1,0,2,16.33,12.67,4.3333,9.0,68,7,75,incheon
2012-01-26 05:00:00,4,1,0,1,15.67,17.0,3.3333,4.0,113,6,119,incheon
2011-06-10 15:00:00,2,1,1,3,4.33,19.67,7.6667,9.6667,85,1,86,busan
2011-12-05 08:00:00,1,1,1,2,4.0,16.67,7.6667,7.6667,14,9,23,incheon
2012-02-26 21:00:00,4,1,0,1,4.67,12.0,8.0,8.3333,72,2,74,seoul
2011-01-15 07:00:00,4,1,1,3,9.0,6.67,3.6667,9.0,127,19,146,busan
2011-04-21 12:00:00,1,1,1,3,14.0,7.0,6.3333,7.0,131,3,134,busan
2011-05-28 20:00:00,1,1,1,3,8.33,12.67,10.0,10.0,19,10,29,busan
2011-02-10 04:00:00,1,0,1,2,5.74,6.82,59,15.0013,0,1,1,seoul
2012-04-30 18:00:00,4,1,0,2,8.33,9.33,7.0,5.6667,2,3,5,incheon
2011-11-18 01:00:00,2,0,1,2,10.0,12.0,5.6667,3.3333,118,12,130,incheon
2012-09-14 12:00:00,3,1,0,1,10.0,10.33,6.3333,8.6667,53,18,71,busan
2012-02-06 21:00:00,4,1,0,2,6.33,9.67,7.3333,7.3333,22,15,37,busan
2012-06-02 17:00:00,4,1,0,3,15.33,19.0,8.3333,4.0,79,8,87,busan
2012-02-27 07:00:00,2,0,0,2,12.67,6.67,5.6667,6.6667,61,7,68,busan
2012-04-04 06:00:00,3,0,0,1,6.33,11.0,9.0,9.6667,14,5,19,incheon
2012-08-24 09:00:00,3,0,0,1,16.67,18.67,6.6667,5.3333,131,10,141,incheon
2011-11-14 04:00:00,4,0,1,1,18.04,21.97,67,15.0013,0,5,5,seoul
2011-04-05 08:00:00,2,1,1,3,10.0,17.0,5.0,8.0,60,20,80,incheon
2011-07-16 15:00:00,3,0,0,1,31.16,34.09,45,22.0028,205,223,428,seoul
2012-12-19 16:00:00,4,0,1,1,17.22,21.21,50,23.9994,37,297,334,seoul
2011-03-23 06:00:00,3,0,1,2,16.33,14.33,8.6667,9.3333,112,16,128,seoul
2011-03-30 19:00:00,3,0,0,3,15.33,18.0,3.3333,7.3333,52,18,70,busan
2012-08-12 08:00:00,1,1,0,2,10.33,18.0,6.6667,9.0,1,8,9,seoul
2012-04-23 01:00:00,4,1,0,1,12.67,11.0,5.0,9.0,18,15,33,busan
2012-04-25 19:00:00,1,0,1,1,11.33,11.0,8.3333,8.6667,11,18,29,seoul
2011-05-30 13:00:00,4,1,1,2,11.67,11.33,6.0,6.0,22,17,39,busan
2012-12-11 23:00:00,4,0,1,1,12.3,14.395,52,15.0013,4,60,64,seoul
2012-06-09 02:00:00,4,0,1,2,6.67,9.67,6.0,9.6667,116,8,124,incheon
2012-10-22 06:00:00,3,1,1,3,7.0,15.67,5.3333,4.0,146,5,151,busan
2012-07-22 13:00:00,3,1,0,3,6.33,17.67,6.6667,9.3333,93,8,101,incheon
2012-02-22 19:00:00,4,1,1,1,6.33,17.33,9.0,8.6667,3,19,22,incheon
2011-08-05 16:00:00,2,0,0,1,13.0,16.67,8.0,9.0,64,11,75,incheon
2011-03-01 17:00:00,1,0,1,1,13.94,17.425,34,6.0032,12,230,242,seoul
2012-10-15 09:00:00,4,1,0,1,4.33,19.0,5.0,6.6667,74,15,89,incheon
2011-06-18 05:00:00,3,0,0,3,13.0,14.0,9.6667,8.3333,27,20,47,busan
2012-04-12 02:00:00,2,0,1,1,13.12,15.15,61,19.0012,0,4,4,seoul
2012-06-28 01:00:00,4,1,1,3,7.33,16.0,7.3333,5.0,40,2,42,busan
2011-03-14 21:00:00,2,1,0,2,8.67,10.33,6.6667,4.3333,137,17,154,busan
2012-08-25 12:00:00,4,0,0,3,14.67,19.33,6.0,4.6667,59,9,68,busan
2012-08-11 02:00:00,3,0,0,3,26.24,29.545,78,12.998,19,66,85,seoul
2012-06-13 16:00:00,3,1,0,1,7.33,10.67,5.3333,8.3333,101,4,105,busan
2011-07-09 19:00:00,1,1,1,3,15.33,10.67,8.0,5.3333,94,10,104,incheon
2012-08-06 08:00:00,4,0,1,1,4.0,9.33,5.0,6.6667,124,16,140,busan
2012-01-11 17:00:00,3,0,1,1,10.33,7.33,5.6667,8.3333,137,14,151,busan
2012-03-25 15:00:00,1,0,1,1,10.67,9.0,9.0,9.6667,40,8,48,busan
2011-11-30 19:00:00,4,1,1,2,9.67,19.67,3.3333,9.0,78,9,87,incheon
2012-02-11 16:00:00,1,1,1,3,13.0,12.0,4.6667,7.3333,119,12,131,busan
2012-02-29 06:00:00,4,1,1,2,8.33,17.33,6.3333,9.3333,72,15,87,busan
2011-02-16 07:00:00,4,1,1,1,12.33,14.33,9.3333,6.3333,127,16,143,busan
2012-03-17 04:00:00,2,0,1,2,14.33,12.33,3.3333,8.0,69,9,78,incheon
2012-01-10 15:00:00,4,0,0,2,8.0,8.67,9.6667,7.6667,133,9,142,busan
2011-05-22 04:00:00,4,0,0,3,9.0,9.0,4.6667,10.0,118,14,132,busan
2012-11-25 15:00:00,3,0,1,1,6.33,7.67,3.6667,9.0,6,6,12,busan
2012-08-06 14:00:00,4,0,0,3,10.33,7.33,9.3333,6.3333,13,1,14,seoul
2011-05-28 18:00:00,2,0,0,3,13.33,11.33,5.3333,6.3333,41,20,61,seoul
2012-11-14 21:00:00,4,0,1,1,12.3,16.665,56,0,5,208,213,seoul
2011-11-11 20:00:00,1,0,1,2,12.33,9.67,7.6667,3.6667,129,18,147,incheon
2012-03-11 02:00:00,3,0,1,1,7.33,17.67,4.6667,9.3333,97,8,105,incheon
2012-05-19 20:00:00,2,1,0,1,9.0,8.0,8.0,6.0,118,18,136,incheon
2012-10-07 03:00:00,1,0,1,2,9.33,13.67,9.0,4.6667,3,18,21,incheon
2011-10-18 14:00:00,1,1,0,1,9.33,12.0,8.0,6.6667,24,16,40,busan
2012-09-07 19:00:00,3,0,1,1,30.34,34.09,62,19.0012,70,498,568,seoul
2012-02-16 09:00:00,1,0,1,2,12.3,15.15,70,11.0014,3,199,202,seoul
2012-05-04 16:00:00,2,0,1,2,12.67,16.33,8.0,6.3333,11,15,26,busan
2012-03-02 23:00:00,2,0,1,1,8.33,19.0,9.0,4.0,31,18,49,incheon
2012-01-11 00:00:00,1,0,1,1,10.66,15.15,81,0,2,26,28,seoul
2012-05-14 23:00:00,2,0,1,2,23.78,27.275,78,7.0015,11,64,75,seoul
2011-02-10 00:00:00,2,0,0,2,4.33,13.0,5.3333,6.6667,89,10,99,incheon
2012-08-06 14:00:00,4,1,0,1,9.67,8.33,5.0,5.3333,57,19,76,busan
2011-02-19 09:00:00,2,1,1,2,5.67,9.0,8.6667,3.3333,134,1,135,incheon
2011-06-17 07:00:00,3,0,1,2,6.33,9.0,10.0,8.6667,87,9,96,busan
2011-05-15 13:00:00,1,0,0,3,10.67,17.33,7.0,5.0,132,6,138,incheon
2011-12-04 06:00:00,1,1,1,2,12.33,9.0,7.6667,8.6667,46,7,53,incheon
2012-01-09 02:00:00,1,0,1,1,9.84,12.12,56,8.9981,2,3,5,seoul
2012-03-27 07:00:00,1,0,0,3,14.33,10.33,5.0,10.0,84,15,99,seoul
2012-06-22 21:00:00,2,0,1,3,8.33,12.67,8.6667,4.0,60,2,62,busan
2011-03-17 00:00:00,1,0,1,1,15.58,19.695,66,16.9979,4,19,23,seoul
2012-02-02 15:00:00,1,0,1,1,18.86,22.725,67,11.0014,24,150,174,seoul
2012-11-02 08:00:00,1,1,0,1,12.33,12.67,9.6667,7.3333,90,14,104,incheon
2011-02-18 12:00:00,3,1,0,2,15.33,6.67,5.0,8.3333,131,9,140,incheon
2012-05-27 19:00:00,2,1,0,2,13.0,19.0,8.6667,9.0,110,6,116,busan
2012-11-14 03:00:00,3,0,1,3,8.67,10.67,5.0,9.0,116,3,119,seoul
2011-11-24 00:00:00,1,0,1,3,9.0,15.33,5.6667,9.6667,136,7,143,seoul
2012-08-17 12:00:00,3,0,1,1,33.62,12.12,41,15.0013,110,255,365,seoul
2012-05-30 18:00:00,4,1,1,3,10.0,11.0,8.6667,9.6667,10,20,30,busan
2011-04-19 20:00:00,3,0,0,1,16.33,19.33,5.0,4.3333,82,10,92,incheon
2011-08-22 14:00:00,2,0,0,3,13.33,11.33,7.3333,7.0,30,18,48,busan
2011-09-14 19:00:00,1,1,1,3,12.0,15.33,3.3333,8.6667,146,20,166,incheon
2012-10-07 18:00:00,4,1,0,2,3.67,16.33,7.0,7.6667,65,2,67,incheon
2012-03-03 16:00:00,2,0,1,3,10.0,14.33,8.3333,3.6667,97,17,114,seoul
2011-10-05 13:00:00,4,0,1,1,26.24,31.06,41,15.0013,30,189,219,seoul
2011-01-24 00:00:00,4,0,0,1,5.33,10.33,4.0,8.6667,70,11,81,busan
2012-11-14 04:00:00,2,0,1,2,4.33,13.67,4.6667,5.6667,64,18,82,busan
2012-04-07 14:00:00,1,1,1,3,16.0,19.67,4.3333,8.0,136,16,152,incheon
2011-08-05 16:00:00,1,1,0,1,5.0,19.0,7.6667,7.0,81,6,87,busan
2012-01-26 10:00:00,4,0,0,2,16.0,16.67,6.6667,6.3333,128,6,134,busan
2011-09-07 08:00:00,3,0,1,3,25.42,27.275,94,6.0032,9,319,328,seoul
2012-07-25 00:00:00,2,1,1,2,12.0,8.0,5.0,9.0,67,15,82,seoul
2012-04-01 07:00:00,2,0,0,2,14.76,17.425,71,8.9981,29,55,84,seoul
2011-08-26 18:00:00,1,1,1,1,15.67,17.0,4.6667,7.3333,105,15,120,busan
2011-11-15 10:00:00,1,0,0,1,12.67,14.67,8.6667,8.6667,28,6,34,busan
2012-03-23 23:00:00,4,1,0,3,10.33,10.0,5.0,8.0,17,1,18,busan
2011-11-21 06:00:00,1,1,0,1,10.33,9.67,9.3333,5.6667,46,3,49,busan
2011-07-02 09:00:00,1,1,0,2,7.33,7.33,8.3333,8.6667,143,10,153,incheon
2012-06-08 23:00:00,3,1,0,2,14.67,17.67,5.3333,9.6667,5,15,20,busan
2011-01-21 12:00:00,2,0,1,1,15.0,10.67,9.0,3.3333,149,17,166,incheon
2011-03-12 14:00:00,2,1,1,3,5.33,13.67,4.0,8.0,22,11,33,seoul
2011-02-26 04:00:00,2,0,0,1,4.67,20.0,8.0,8.3333,150,20,170,busan
2012-09-19 15:00:00,4,0,1,2,11.33,17.0,4.0,3.3333,17,8,25,busan
2011-11-09 03:00:00,1,0,1,2,6.33,12.0,3.3333,9.3333,137,17,154,incheon
2011-05-29 16:00:00,1,1,1,3,11.0,9.0,9.3333,4.0,119,17,136,busan
2011-12-05 16:00:00,1,0,0,3,10.33,11.33,6.0,8.0,111,15,126,incheon
2011-07-18 08:00:00,3,0,0,1,13.0,12.67,7.3333,7.3333,97,18,115,incheon
